61,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Individual"
62,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Jumping, Team"
63,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Individual"
64,1928 Summer,1928,Summer,Amsterdam,Equestrianism,"Equestrianism Men's Three-Day Event, Team"
65,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Individual"
66,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Foil, Team"
67,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Individual"
68,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's Sabre, Team"
69,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Individual"
70,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team"
71,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Women's Foil, Individual"
72,1928 Summer,1928,Summer,Amsterdam,Football,Football Men's Football
73,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Horizontal Bar
74,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Horse Vault
75,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Individual All-Around
76,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Parallel Bars
77,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Pommelled Horse
78,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Rings
79,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Men's Team All-Around
80,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around
81,1928 Summer,1928,Summer,Amsterdam,Hockey,Hockey Men's Hockey
82,1928 Summer,1928,Summer,Amsterdam,Modern Pentathlon,Modern Pentathlon Men's Individual
83,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Eights
84,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Fours
85,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxed Pairs
86,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxless Fours
87,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Coxless Pairs
88,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Double Sculls
89,1928 Summer,1928,Summer,Amsterdam,Rowing,Rowing Men's Single Sculls
90,1928 Summer,1928,Summer,Amsterdam,Sailing,Sailing Mixed 6 metres
91,1928 Summer,1928,Summer,Amsterdam,Sailing,Sailing Mixed 8 metres
92,1928 Summer,1928,Summer,Amsterdam,Sailing,Sailing Mixed One Person Dinghy
93,1928 Summer,1928,Summer,Amsterdam,Swimming,"Swimming Men's 1,500 metres Freestyle"
94,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Backstroke
95,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Freestyle
96,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 200 metres Breaststroke
97,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
98,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle
99,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 100 metres Backstroke
100,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 100 metres Freestyle
101,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 200 metres Breaststroke
102,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
103,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Women's 400 metres Freestyle
104,1928 Summer,1928,Summer,Amsterdam,Water Polo,Water Polo Men's Water Polo
105,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Featherweight
106,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Heavyweight
107,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Light-Heavyweight
108,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Lightweight
109,1928 Summer,1928,Summer,Amsterdam,Weightlifting,Weightlifting Men's Middleweight
110,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Bantamweight, Freestyle"
111,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman"
112,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Featherweight, Freestyle"
113,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Featherweight, Greco-Roman"
114,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Heavyweight, Freestyle"
115,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
116,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
117,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman"
118,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Lightweight, Freestyle"
119,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
120,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Middleweight, Freestyle"
121,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
122,1928 Summer,1928,Summer,Amsterdam,Wrestling,"Wrestling Men's Welterweight, Freestyle"
123,1920 Summer,1920,Summer,Antwerpen,Archery,"Archery Men's Pole Archery, Large Birds, Individual"
124,1920 Summer,1920,Summer,Antwerpen,Archery,"Archery Men's Pole Archery, Large Birds, Team"
